Concept,Dependency
NAND Gate,NOT Gate
NOR Gate,OR Gate
NOR Gate,NOT Gate
XOR Gate,Boolean Logic
XOR Gate,Truth Table
Combinational Logic,Boolean Logic
Sequential Logic,Boolean Logic
Flip Flop Circuit,Sequential Logic
Flip Flop Circuit,Transistor
Memory Cell,Flip Flop Circuit
Bistable Circuit,Flip Flop Circuit
Timing Circuit,Capacitor
Timing Circuit,Resistor
Oscillator Circuit,Timing Circuit
LED Flasher,Oscillator Circuit
LED Flasher,Light Emitting Diode
Signal Generator,Oscillator Circuit
Signal Generator,555 Timer IC
Night Light Circuit,Dark Detector
Night Light Circuit,Light Emitting Diode
